361003195511296531,Student 1,17336321229,a,1
320585199206290792,Student 2,18776325239,b,1
330105198904292932,Student 3,13039173726,c,1
320413197811297259,Student 4,17122620762,d,1
230624195904205893,Student 5,18629583246,e,1
513423200908074014,Student 6,17117821618,f,1
429021194704048691,Student 7,13063094865,g,1
632722201204293797,Student 8,18662952291,h,1
130503200007040657,Student 9,18655222184,i,1
533124201106020573,Student 10,17155442988,j,1
130730196107240913,Student 11,18794952703,k,1
411002195105128813,Student 12,17272887057,l,1
350702201911154812,Student 13,17114995242,m,1
445321197505051257,Student 14,17174538407,n,1
45122820190122673X,Student 15,17301742800,o,1
513325202503144615,Student 16,17174747600,p,1
441882201104051454,Student 17,18736324914,q,1
371725199005219695,Student 18,18752896581,r,1
210303200609190694,Student 19,17390820507,s,1
430104196501122697,Student 20,17324508407,t,1
